"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R20","1206","65.913mm","11.303mm","65.913mm","11.303mm","64.135mm","11.303mm","T","360","10K"
"R23","0603_R","4.953mm","69.342mm","4.953mm","69.342mm","4.953mm","70.112mm","T","270","270"
"R28","1206","5.842mm","45.974mm","5.842mm","45.974mm","5.842mm","47.752mm","T","270","470"
"R24","0603_R","7.239mm","69.342mm","7.239mm","69.342mm","7.239mm","70.112mm","T","270","270"
"R25","0603_R","9.525mm","69.342mm","9.525mm","69.342mm","9.525mm","70.112mm","T","270","270"
"R26","0603_R","11.811mm","69.342mm","11.811mm","69.342mm","11.811mm","70.112mm","T","270","270"
"R27","0603_R","14.097mm","69.342mm","14.097mm","69.342mm","14.097mm","70.112mm","T","270","270"
"R30","0603_R","16.383mm","69.342mm","16.383mm","69.342mm","16.383mm","70.112mm","T","270","270"
"R29","1206","12.319mm","45.974mm","12.319mm","45.974mm","12.319mm","47.752mm","T","270","4.7K"
"R31","0603_R","18.542mm","69.342mm","18.542mm","69.342mm","18.542mm","70.112mm","T","270","270"
"R32","0603_R","20.828mm","69.342mm","20.828mm","69.342mm","20.828mm","70.112mm","T","270","270"
"R34","0603_R","23.114mm","69.342mm","23.114mm","69.342mm","23.114mm","70.112mm","T","270","270"
"R35","0603_R","25.4mm","69.342mm","25.4mm","69.342mm","25.4mm","70.112mm","T","270","270"
"R36","0603_R","27.559mm","69.342mm","27.559mm","69.342mm","27.559mm","70.112mm","T","270","270"
"R33","1206","8.839mm","45.974mm","8.839mm","45.974mm","8.839mm","47.752mm","T","270","10K"
"R37","0603_R","4.953mm","74.168mm","4.953mm","74.168mm","4.953mm","73.398mm","T","90","10K"
"R38","0603_R","7.239mm","74.168mm","7.239mm","74.168mm","7.239mm","73.398mm","T","90","10K"
"R39","0603_R","9.525mm","74.168mm","9.525mm","74.168mm","9.525mm","73.398mm","T","90","10K"
"R40","0603_R","11.811mm","74.168mm","11.811mm","74.168mm","11.811mm","73.398mm","T","90","10K"
"R41","0603_R","14.097mm","74.168mm","14.097mm","74.168mm","14.097mm","73.398mm","T","90","10K"
"R42","0603_R","16.256mm","74.168mm","16.25mm","74.168mm","16.25mm","73.398mm","T","90","10K"
"R43","0603_R","18.415mm","74.168mm","18.415mm","74.168mm","18.415mm","73.398mm","T","90","10K"
"R44","0603_R","20.828mm","74.168mm","20.828mm","74.168mm","20.828mm","73.398mm","T","90","10K"
"R45","0603_R","23.114mm","74.168mm","23.114mm","74.168mm","23.114mm","73.398mm","T","90","10K"
"R46","0603_R","25.4mm","74.168mm","25.4mm","74.168mm","25.4mm","73.398mm","T","90","10K"
"R47","0603_R","27.432mm","74.168mm","27.432mm","74.168mm","27.432mm","73.398mm","T","90","10K"
"S1","SW_PB2_A1","31.877mm","2.032mm","31.877mm","2.032mm","35.777mm","2.032mm","T","180","SW-PB"
"S2","TS665CJ","45.11mm","4.623mm","42.871mm","7.874mm","","","T","0","TS665CJ"
"S3","TS665CJ","52.121mm","4.623mm","49.856mm","7.874mm","","","T","0","TS665CJ"
"S4","TS665CJ","59.03mm","4.623mm","56.769mm","7.874mm","","","T","0","TS665CJ"
"S5","TS665CJ","65.989mm","4.623mm","63.754mm","7.874mm","","","T","0","TS665CJ"
"U1","SOT23-5","18.796mm","9.779mm","18.796mm","9.779mm","17.399mm","10.729mm","T","360","ME6211"
"U2","SOP-16","57.658mm","28.956mm","57.658mm","28.956mm","54.864mm","33.401mm","T","0","CH340G"
"U4","C3131","49.276mm","64.694mm","49.276mm","75.692mm","49.276mm","75.692mm","T","270","C3131"
"VR1","VG039NCHXTB204","32.258mm","71.806mm","32.258mm","72.136mm","31.258mm","70.336mm","T","360","VG039NCHXTB204"
"Y1","5032","21.844mm","28.448mm","21.844mm","28.448mm","21.844mm","30.498mm","T","270","8M"
"Y2","5032","49.022mm","27.178mm","49.022mm","27.16mm","49.022mm","29.21mm","T","270","12M"
"IC1","SOIC127P600X175-8N","22.86mm","58.42mm","22.86mm","58.42mm","20.148mm","60.325mm","T","360","MAX6675ISA"
"U3","LQFP-48_M","32.893mm","28.575mm","32.893mm","28.575mm","28.793mm","31.325mm","T","0","STM32F103C8T6"
"Q3","SOT-23","6.121mm","20.955mm","6.121mm","20.777mm","7.071mm","21.952mm","T","180","SS8050"
